stat,lat,lng
Rothera Research Station,-67.5666644,-68.1333328
Aboa Research Station,-73.0499998,-13.416665
Antarctic Kunlun Station,-80.416831666,77.109666228
Davis Station,-68.57249771,77.967996128
Troll Research Station,-72.0166666,2.5333312
McMurdo Station,-77.8499966,166.666664
Casey Station,-66.275665564,110.521331248
Vostok Station,-78.4586514987,106.835726657
Brown Station,-64.8499966,-62.8999964
Machu Picchu Research Station,-62.0916600,-58.4706100
Vernadsky Station,-65.24600000,-64.25416944
